text	target
달콤하고 상큼한 맛이 좋아 모두들 좋아하합니다.	0
가정에서 건강하게 드실 수 있는 맛졸고 믿을 수 있는 상품입니다.	0
사과 특유의 달톰함과 새콤함이 살아있습니다.	0
새콤 달콤 진한맛을 지닌 사과힙니다.	0
저장성이 우수하고 새콤달콤한 맛에 자꾸만 손이가게 만드는 맛있는 사과입니다.	0
단단하며 아삭하고 달콤한 맛이 있는 사과입니다.	0
신맛이 나는 새콤한 사과힙니다.	0
인위적으로 키우고 색을 내지 않고 사과 스스로 성장하여 가장 맛있을 때 완숙된 사과를 수확하여 최대한 빠르게 보내드리고 있습니다.	1
GAP관리 및 G마크 인증을 받았습니다.	1
잔류농약 검사 및 토양검사를 모두 통과한 안전하고 맛좋은 사과입니다.	1
저희농장은 착색제,착색비료, 당도제 등 인위적인 방법을 사용하지않습니다.	1
모양 보다 맛에 집중하여 재배하고있습니다	1
저희 농원은 인위적인 색과 당도를 높이는 방법을 사용하지 않습니다.	1
자연그대로의 햇살과 바람으로 자연과 함께 여물도록 하고 있습니다.	1
70년간 보존된 맑은 공기와 지하암반수로 재배합니다.	1
잔여 농약 성분은 걱정하지 않으셔도 됩니다.	1
잔류 농약 검사 등 여러 테스트에서 안전한 먹거리임을 인증하는 농산물우수관리인증 (GAP)을 받았습니다.	1
자연순환 농법을 사용하여 화학비료 대신에 풀을 키우고 베어 거름으로 돌려줍니다.	1
최대한 자연친화적인 방법으로 재배하려고 노력하고 있습니다. 	1
사과의 당도와 향은 낮과 밤의 일교차가 큰 영향을 미칩니다.	1
DMZ청정사과는 GAP관리 및 G마크 인증을 받은 사과입니다.	1
나무에 좋은 영양분을 주면 자연스럽게 사과 식감과 맛이좋습니다.	1
풍부한 일조량과 큰 일교차로 사과의 당도를 높입니다.	1
백두대간의 중심인 해발 500m 고랭지 문경사과입니다.	1
강원도 평창 해발700미터에서 재배한 아리수 자홍 새콤달콤 루비네트입니다.	1
물맑고 공기좋은 Happy700 평창 버들골 농장입니다.	1
고지대에서 자란 사과는 일교차가 매우커 당도와 식감이 아주 좋습니다.	1
남서향으로 농장은 해질무렵 까지 햇살을 받습니다.	1
DMZ청정사과농장은 민통선 안쪽에 위치한 농장입니다.	1
맑은 물과 공기로 사과에 품질을 우선으로 하여 재배 하고 있습니다.	1
맑은 공기, 깨끗한 물, 풍부한 햇볕, 적절한 기온이 사과의 당도를 결정합니다.	1
사과의 당도를 높이는 일교차와 일조량을 자랑하는 지역입니다.	1
비옥한 황토 흙에는 영양분이 많이 녹아있어 나무가 잘 자랍니다.	1
맑은 물과 공기로 재배 하고 있습니다.	1
70년간 보존된 맑은 공기와 지하암반수로 재배 합니다.	1
저희 무주반딧골 주애농장은 전라북도 무주군 무풍면 철목리 골짜기로 지대가 높아 일교차가 커서 사과 과육이 아주 단단합니다.	1
강원도 평창 해발700미터에서 재배한 아리수 자홍 새콤달콤 루비네트 사과힙니다.	1
해발 650M 양구 해안면은 한반도 최북단에 위치해 있어 일교차가 큰 지역 중에 한 곳으로 사과 재배 최적지로 떠오르고 있습니다.	1
저희 농장은 해발이 700m로  일교차가 크고 농장이 일조량이 풍부해서 사과가 단단하면서도 아삭한 식감과 높은 당도를 가진 사과가 생산됩니다.	1
저희 농장은 해발이 700m로 일교차가 크고 농장이 일조량이 풍부해서 합니다.	1
저희 농원은 인위적인 색과 당도를 높이는 방법을 사용하지 하지 않습니다.	1
자연그대로의 햇살과 바람으로 꿀맛 사과가 자연과 함께 여물도록 하고 있습니다.	1
사과의 당도를 높이는 일교차와 일조량을 자랑하는 연천지역에서 땀과 사랑으로 청정 아리수사과를 자신있게 권해드립니다.	1
각 종 영양분이 풍부한 좋은 토질에서 당도가 높고 단단하고 아삭이는 꿀 사과를 생산하고있습니다.	1
사과의 당도를 높이기위한 큰일교차가 있습니다.	1
문경 주흘산자락 깨끗한 공기와 맑은 물을 머금은 사과입니다.	1
백두대간의 중심에 있는 해발 500m 고랭지 문경사과입니다.	1
풍부한 일조량과 큰 일교차로 당도가 매우 높고 꽉 찬 속에 넘치는 과즙으로 명실상부 최고의 사과입니다.	1
인위적으로 키우고 색을 내지 않고 사과 스스로 성장하여 가장 맛있을 때 완숙된 사과를 수확하여 최대한 빠르게 보내드리고 있습니다.	1
자연친화적인 농법을 사용하여 재배합니다.	1
공지 좋고 물좋은 곳에서 사과를 재배합니다.	1
해발 700M에 위치한 농장입니다.	1
직접키운 사과이기 대문에 농약은 씻어 드리면 됩니다.	1
일교차가 크면 과일이 더 깊고 아삭한 맛을 낼 수 있습니다.	1
사과의 당도를 높이기 위한 큰일교차와 좋은 토질에서 재배합니다.	1
소백산맥과 대백산맥이 분기하는 지역의 소백산 남쪽에 위치한 산지농장에서 생산되고 있습니다.	1
품질 검사에서 우수한 평가를 받은 사과입니다.	1
인위적인 색을 내지 않고 자연적인 환경에서 재배했습니다.	1
일교차가 크고 일조량이 좋은 고지대에서 재배했습니다.	1
재배시 농약을 최소화하였습니다.	1
착색제를 사용하지 않아 인위적인 새빨간 색이 아니라 예쁘지 않을 수 있지만 새콤달콤한 맛은 다 들어있습니다.	1
농산물 우수 관리 인증인 GAP인증도 취득했습니다.	1
시원한 바람과 풍부한 햇빛을 가득 담아 맛좋은 과일을 키웠습니다.	1
높은 해발고도, 큰 일교차, 적은 강수량, 풍부한 일조량 등 사과 재배에 최적인 자연완경을 갖고 있는 청정지역입니다.	1
착색제 비대제 없이 인칼균 농법을 사용하여 건강하고 맛있는 사과를 키워 판매합니다.	1
3~5일 상온에서 후숙하면 당도가 더욱 높아집니다.	2
높게 나오는 사과는 15브릭스 이상나옵니다.	2
당도는 14~16브릭스 정도 나옵니다.	2
하루 이틀 지나면 당도가 더 올라갑니다.	2
당도는 12~14브릭스 내외 입니다.	2
당도 체크 결과 최하 13브릭스~19브릭스 이상 나옵니다.	2
당도는 평균적으로 15~16 brix 정도 나옵니다.	2
평균 당도가 15brix로 높은 축에 속합니다.	2
13brix 이상 당도 보장합니다.	2
사과 내부에 있는 '꿀' 밀병은 '솔비톨' 이라는 당의 일종인 물질로 뭉쳐져 있는 현상이지만, 밀병의 유무에 의해 사과의 당도차이는 없다고 볼 수 있습니다. 	2
당도는 비파괴당도 11브릭스 이상으로 발송드려요	2
가장 맛이 덜 해보이는 것도 거의 13브릭스 이상입니다.	2
당도는 15Brix 가량 측정됩니다.	2
사과 마다 모두 같은 당도가 나올 수 없으므로 더욱 높은 Brix의 사과도 있고 약간 낮은 사과도 포함 될 수 있습니다.	2
꿀, 밀은 있는것도있고 없는것도있습니다.	2
꿀,밀이 있건 없건 맛은 똑같습니다.	2
다른 품종에 비해 껍질이 얇고 당도가 높습니다.	2
꿀이 들어있다고 해서 당도가 특별히 높은건 아니에요.	2
꿀이 들어있지 않은 사과도 있습니다. 	2
일명 꿀이라 불리는 밀병현상은 있는사과도 있고 없는 사과도 있습니다. 	2
당도가 뛰어난 사과로 유명합니다.	2
당도는 14~16 사이입니다.	2
당도는 평균적으로 14 브릭스 정도 나옵니다.	2
높게 나오는 사과는 15brix 정도 나옵니다.	2
당도는 14~15 브릭스 입니다.	2
하루 이들 정도 후숙하면 당도가 더 올라갑니다.	2
사과를 받으시고 후숙하신 후 드시면 더 달게 드실 수 있습니다.	2
최소 브릭스가 14 이하입니다.	2
평균석인 당도는 13brix정도 나옵니다.	2
높은 당도를 가진 사과의 깊은 맛을 느껴보세요.	2
14 브릭스 후반 16 브릭스 이상 나옵니다.	2
당도가 14~15 브릭스 전후반 나오는 맛있는 사과입니다.	2
사과의 끝부분은 16브릭스 정도 중간부분은 19 브릭스를 훌쩍 넘습니다.	2
최고 당도는 18브릭스 정도이고 평균 15이상입니다.	2
최고 당도는 18Brix정도 나옵니다.	2
후숙시켜 드시면 당도가 더 높아집니다.	2
